invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-23548800092,2019-11-27,2601,Hy-Vee Food Store / Fairfield,1300 West Burlington Ave,Fairfield,52556.0,POINT (-91.978702 41.006456),51.0,JEFFERSON,1081500.0,Triple Sec,434.0,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,6,21.78,6.0,1.58
S30390600011,2016-01-26,2641,Hy-Vee Drugstore / Council Bluffs,757 W BROADWAY,COUNCIL BLUFFS,51501.0,POINT (-95.855054 41.261673),78.0,Pottawattamie,1081380.0,MISCELLANEOUS SCHNAPPS,55.0,Sazerac North America,81124,99 Peppermint Mini,10,600,5.94,8.91,2,17.82,1.2,0.32
S30348700047,2016-01-25,3162,Nash Finch / Wholesale Food,807 GRANDVIEW,MUSCATINE,52761.0,POINT (-91.06411300000002 41.408437),70.0,Muscatine,1081330.0,PEACH SCHNAPPS,65.0,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.62,11.43,4,45.72,4.0,1.06
S30466200002,2016-02-01,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320.0,POINT (-93.596754 41.554101),77.0,Polk,1081700.0,DISTILLED SPIRITS SPECIALTY,55.0,Sazerac North America,973627,Di Amore Quattro Orange,12,1000,9.75,14.63,120,1755.6,120.0,31.7
INV-16481100198,2018-12-20,2544,Hy-Vee Food Store / Marshalltown,802 South Center,Marshalltown,50158.0,POINT (-92.912817 42.039205),64.0,MARSHALL,1081100.0,Coffee Liqueurs,65.0,Jim Beam Brands,67557,Kamora Coffee Liqueur,12,1000,8.39,12.59,6,75.54,6.0,1.58
S33151100001,2016-06-30,2571,Hy-Vee Food Store #2 / Waterloo,2181 Logan Ave,Waterloo,50703.0,POINT (-92.337583 42.530476),7.0,Black Hawk,1701100.0,DECANTERS & SPECIALTY PACKAGES,65.0,Jim Beam Brands,168,Pinnacle Peach w/ Punch Dispenser,6,750,7.35,11.03,180,1985.4,135.0,35.66
INV-23807400003,2019-12-10,5446,Pump N Pak,1004 Main St.,Rock Valley,51247.0,POINT (-96.294824 43.200164),84.0,SIOUX,1081500.0,Triple Sec,65.0,Jim Beam Brands,86112,Dekuyper Triple Sec,12,1000,2.33,3.5,6,21.0,6.0,1.58
S30506300012,2016-02-02,2562,Hy-Vee Food Store / Fort Dodge,115 SOUTH 29TH ST,FORT DODGE,50501.0,POINT (-94.15824700000002 42.504742),94.0,Webster,1031100.0,100 PROOF VODKA,301.0,Fifth Generation Inc.,38176,Titos Vodka,12,750,9.65,14.48,108,1563.84,81.0,21.4
S30600400007,2016-02-09,4559,Osage Payless Foods,"633, CHASE ST",OSAGE,50461.0,POINT (-92.811539 43.285134),66.0,Mitchell,1031100.0,100 PROOF VODKA,297.0,Laird And Company,35918,Five O'clock Vodka,6,1750,7.2,10.8,30,324.0,52.5,13.87
S33457600258,2016-07-19,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N Lake St,Storm Lake,50588.0,POINT (-95.200758 42.65318400000001),11.0,Buena Vista,1081340.0,ROOT BEER SCHNAPPS,380.0,Phillips Beverage Company,84617,Phillips Root Beer Schnapps,12,1000,5.5,8.25,4,33.0,4.0,1.06
INV-18262300112,2019-03-20,3869,Bootleggin' Barzini's Fin,412  1st Ave,Coralville,52241.0,POINT (-91.565517 41.672672),52.0,JOHNSON,1062100.0,Gold Rum,35.0,BACARDI USA INC,43034,Bacardi Gold,24,375,4.5,6.75,1,6.75,0.37,0.09
INV-24014800058,2019-12-18,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,Council Bluffs,51501.0,POINT (-95.8792 41.238092),78.0,POTTAWATTA,1081500.0,Triple Sec,434.0,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,48,174.24,48.0,12.68
S30972000014,2016-02-29,4153,Fareway Stores #067 / Evansdale,215 S EVANS RD,EVANSDALE,50707.0,POINT (-92.287834 42.475631),7.0,Black Hawk,1012300.0,IRISH WHISKIES,370.0,Pernod Ricard USA/Austin Nichols,15626,Jameson,12,750,14.99,22.49,60,1349.4,45.0,11.89
